,start_node,end_node,pipe_id,Length,Diameter,Roughness,MinorLoss,Status,mapped_status
0,J-1,T-9,P-1,5567.968054640423,0.66259164601145,2955.5986064220924,43.7940346052101,0.25,Open
1,J-1,J-22,P-741,5719.350169787942,0.66259164601145,2458.67412040409,170.98827592145352,0.25,Open
2,J-1,J-371,P-226,12812.300095903185,0.5083377069837922,3020.258637329757,222.14074839901116,0.25,Open
3,J-10,J-55,P-1026,7831.873066910789,0.66259164601145,2724.905554166687,254.1751430249286,0.25,Open
4,J-10,J-276,P-163,13380.648544225762,0.66259164601145,2609.7236246979164,237.03489441035578,0.25,Open
5,J-10,T-12,P-5,7572.491498342705,0.66259164601145,4163.2637428769685,31.512186275083167,0.25,Open
6,J-100,J-101,P-58,4933.564387575004,0.5083377069837922,3335.111022492192,256.43189589790927,0.25,Open
7,J-100,J-31,P-200,4158.750016949148,0.5083377069837922,3499.540746515297,55.55702440853369,0.25,Open
8,J-100,J-61,P-585,16160.91997165091,0.5083377069837922,2407.2279390956055,43.40673725398369,0.25,Open
9,J-101,J-521,P-362,5873.944777838155,0.35408376795613444,4613.764318819404,96.4675981576473,0.25,Open
10,J-101,J-319,P-929,13095.319655786428,0.5083377069837922,3592.0405864295426,12.539394456884281,0.25,Open
11,J-102,J-57,P-634,13813.194416243085,0.66259164601145,4304.58715960789,39.57608598060409,0.25,Open
12,J-102,J-499,P-341,9992.07951424372,0.9710995240667657,2989.728466036816,161.03982708657216,0.25,Open
13,J-102,J-54,P-59,7637.062554194574,0.9710995240667657,3743.1366117647194,197.70143889444472,0.25,Open
14,J-103,J-104,P-60,4483.80164376801,0.66259164601145,2559.832097895544,55.98927359007854,0.25,Open
15,J-103,J-485,P-874,15114.004212078082,0.66259164601145,3739.4152240871454,184.1189444054799,0.25,Open
16,J-103,J-381,P-233,8725.338749379873,0.66259164601145,3560.4320609298666,244.95194129394523,0.25,Open
17,J-104,J-472,P-316,8358.499797437238,0.66259164601145,3424.2497519717663,250.15941156057033,0.25,Open
18,J-105,J-273,P-160,6090.052198593312,0.19982982892847662,3381.720881211966,99.66944446054589,0.25,Open
19,J-105,J-66,P-61,11266.900666576257,0.5083377069837922,3858.259976115768,24.725766517487898,0.25,Open
20,J-105,J-118,P-637,8132.340967449991,0.66259164601145,3935.7752685474106,216.47589458590198,0.25,Open
21,J-105,J-316,P-313,10102.121760915594,0.66259164601145,3405.7646582954603,96.57684101801186,0.25,Open
22,J-106,J-468,P-309,13377.245930927282,0.19982982892847662,4467.771871535254,1.8854696750820494,0.25,Open
23,J-106,J-107,P-62,6348.8070998881485,1.1253534630944235,4412.508769733988,186.69814439939887,0.25,Open
24,J-106,J-814,P-711,6028.873293906185,0.9710995240667657,4562.120717707099,194.7349614415998,0.25,Open
25,J-107,J-620,P-456,7198.09675510791,0.66259164601145,4659.352432770665,3.4127851709422714,0.25,Open
26,J-107,T-7,P-678,14183.39635627611,1.1253534630944235,3781.543749451531,111.95234199149888,0.25,Open
27,J-108,J-489,P-332,7372.466044460378,0.66259164601145,2418.861540652313,180.03969809511938,0.25,Open
28,J-108,J-534,P-375,8373.734719591019,0.66259164601145,3463.037060807046,173.72834088981006,0.25,Open
29,J-108,J-109,P-63,13361.656829029078,0.66259164601145,3072.9004527544994,80.40216527540784,0.25,Open
30,J-109,J-575,P-961,3892.5154827201404,0.5083377069837922,3035.9382309127373,74.68011591135226,0.25,Open
31,J-11,J-611,P-445,9867.94666937555,0.35408376795613444,2522.1759283678703,160.7814343720501,0.25,Open
32,J-11,I-Pump-8,P-1042,9517.24555331334,0.5083377069837922,3994.9726338044975,257.3031654898171,0.25,Open
33,J-11,O-RV-5,P-75,12861.990298162105,0.5083377069837922,2929.3624475232855,208.27428676255514,0.25,Open
34,J-110,J-43,P-64,8634.425584100769,0.66259164601145,4148.153788128496,95.05236734431284,0.25,Open
35,J-110,J-415,P-295,7135.156718549096,0.5083377069837922,2709.753684585433,116.75790278397338,0.25,Open
36,J-111,J-112,P-65,11596.186238821168,0.5083377069837922,4222.342321273122,221.6674743221675,0.25,Open
37,J-111,J-627,P-465,11268.538611255677,0.5083377069837922,4170.035832661777,138.65310671485008,0.25,Open
38,J-111,J-818,P-827,15213.552697571864,0.5083377069837922,3359.7160067017626,145.32982523519655,0.25,Open
39,J-113,J-753,P-615,12655.632288513061,0.5083377069837922,4758.705442377287,54.44659688362199,0.25,Open
40,J-113,J-114,P-66,15485.609910923722,0.5083377069837922,4471.648374528594,152.66472659823248,0.25,Open
41,J-113,J-606,P-440,7347.3401284777465,0.5083377069837922,4554.876724843951,143.92325974259518,0.25,Open
42,J-114,J-517,P-359,6911.299346162662,0.1227028594146477,3061.291337186116,0.49069056378317555,0.25,Open
43,J-114,J-374,P-681,16051.34440630518,0.5083377069837922,4578.479469268589,190.19804260144025,0.25,Open
44,J-115,J-116,P-67,3549.2478380937773,0.35408376795613444,4172.334420717956,248.21046326541997,0.25,Open
45,J-116,J-646,P-489,13791.081780298355,0.35408376795613444,3895.6968915981633,131.1962851682921,0.25,Open
46,J-116,J-381,P-600,12032.328024154987,0.9710995240667657,3338.9728154793584,34.494730785483625,0.25,Open
47,J-116,J-706,P-1024,4901.5126008839015,0.9710995240667657,3554.957261392081,93.11883599685817,0.25,Open
48,J-117,J-118,P-68,4966.078747097652,0.66259164601145,3541.420215031183,239.62518748700555,0.25,Open
49,J-117,J-34,P-663,12052.346283338575,0.66259164601145,2401.1794522866576,10.883106485645499,0.25,Open
50,J-118,J-420,P-269,13959.215899584851,0.66259164601145,4601.637808466521,179.1261701421825,0.25,Open
51,J-119,J-627,P-772,12114.31890543289,0.35408376795613444,4861.882042260479,49.889993020725086,0.25,Open
52,J-119,J-79,P-69,11803.607245544652,0.35408376795613444,3281.304971667053,148.72516776910282,0.25,Open
53,J-12,J-339,P-866,9128.544315173222,0.8168455850391081,3673.629791093606,144.00481938762752,0.25,Open
54,J-12,J-18,P-885,4167.899268570265,0.8168455850391081,4500.582520073635,52.52390843995363,0.25,Open
55,J-120,J-121,P-70,9783.912288395622,0.66259164601145,4031.7024087633818,34.857958752424054,0.25,Open
56,J-120,J-73,P-933,16092.043435929492,0.66259164601145,4757.925190381208,189.1053879081048,0.25,Open
57,J-120,J-575,P-463,7576.496388832809,0.66259164601145,2658.211857872562,233.5514305628849,0.25,Open
58,J-121,J-33,P-71,8190.3962344653,0.66259164601145,3388.2231783294083,185.5714530843839,0.25,Open
59,J-121,J-461,P-963,15820.42147422798,0.5083377069837922,2985.7466215872755,175.9701377740298,0.25,Open
60,J-122,J-79,P-599,13223.702100605646,0.66259164601145,2492.9942671277704,15.07007918811209,0.25,Open
61,J-122,J-49,P-72,13917.27989588802,0.66259164601145,3822.9585109131876,224.96165763458222,0.25,Open
62,J-123,J-82,P-73,11094.414784384207,0.5083377069837922,3579.3196957115797,201.52601660555888,0.25,Open
63,J-123,J-391,P-240,6035.499476252064,0.5083377069837922,3593.471713109866,202.3315847728213,0.25,Open
64,J-124,J-82,P-74,7906.073123290472,0.19982982892847662,2431.3737710774785,248.59785356125718,0.25,Open
65,J-125,J-323,P-930,4610.6040562601465,0.5083377069837922,3317.8480991172473,136.39343792230702,0.25,Open
66,J-125,J-342,P-209,4564.538450295684,0.5083377069837922,2733.1291004193613,148.5558040487927,0.25,Open
67,J-126,J-754,P-966,15964.700175521437,0.35408376795613444,2485.550834257387,224.96196984421474,0.25,Open
68,J-127,J-773,P-644,14253.03504679587,0.35408376795613444,3783.314042795374,36.71817754928122,0.25,Open
69,J-127,J-128,P-76,10829.495614522591,0.35408376795613444,2720.6354683203053,176.78388914701668,0.25,Open
70,J-127,J-164,P-96,12213.5289752346,0.35408376795613444,4207.293796172525,196.43536882692294,0.25,Open
71,J-127,J-486,P-330,8087.157431560333,0.35408376795613444,4701.481017957182,148.05259776803513,0.25,Open
72,J-128,J-773,P-940,11897.833762327718,0.35408376795613444,3982.2049044689643,44.88529328972433,0.25,Open
73,J-128,J-630,P-573,6708.275292087219,0.35408376795613444,4305.898639146697,153.1973369652732,0.25,Open
74,J-129,J-130,P-77,13922.980761407995,0.5083377069837922,2480.7352193476463,218.32547427899965,0.25,Open
75,J-129,J-134,P-611,5588.079664558279,0.5083377069837922,2888.182446478741,27.559814888173207,0.25,Open
76,J-13,J-280,P-166,11319.135960828804,0.8168455850391081,4575.204201168306,35.0439431620604,0.25,Open
77,J-13,J-348,P-832,3722.656493920235,0.8168455850391081,2861.101544866883,31.12854064356543,0.25,Open
78,J-130,J-564,P-464,13486.46353633004,0.5083377069837922,2948.247156099532,140.93244642499434,0.25,Open
79,J-131,J-914,P-1019,5292.468247301153,0.1227028594146477,4570.724291296196,49.69916641574815,0.25,Open
80,J-131,J-132,P-78,5306.325026501923,0.19982982892847662,3379.9828243481566,20.516755277888905,0.25,Open
81,J-131,J-161,P-94,11269.673897866185,0.1227028594146477,3111.294237086161,103.78493761991786,0.25,Open
82,J-133,J-134,P-79,4619.978527804584,0.5083377069837922,2970.256231839162,215.59998918787733,0.25,Open
83,J-133,J-179,P-255,7345.566163434752,0.5083377069837922,4837.718839285558,152.34643724859893,0.25,Open
